"Elementary_flow,CF_certain_effects_kgore_kg,CF_all_effects_kgore_kg"
"Aluminium,1.09E+00,2.48E+00"
"Antimony,1.11E+01,8.36E+00"
"Arsenic*,9.59E-01,1.92E+00"
"Ball clay*,4.16E-02,1.04E-01"
"Barite*,1.46E-01,3.34E-01"
"Bauxite*,2.60E-02,6.69E-02"
"Bentonite clay*,6.55E-02,1.58E-01"
"Beryllium*,9.09E+02,1.12E+03"
"Bismuth*,2.99E+01,4.68E+01"
"Boron*,8.39E-01,1.69E+00"
"Cadmium*,2.51E+00,4.68E+00"
"Cesium*,2.05E+05,1.73E+05"
"Chromium,6.01E-01,1.39E+00"
"Chrysolite*,2.38E+00,4.46E+00"
"Clay_unspecified*,6.31E-02,1.53E-01"
"Cobalt,4.32E+01,9.60E+01"
"Copper,1.08E+01,1.46E+01"
"Diamond_industrial*,1.10E+03,1.34E+03"
"Diatomite*,3.32E-01,7.14E-01"
"Feldspar*,9.60E-02,2.25E-01"
"Fire clay*,2.10E-02,5.50E-02"
"Fuller's earth*,9.29E-02,2.19E-01"
"Gallium*,1.00E+03,1.23E+03"
"Germanium*,4.19E+03,4.64E+03"
"Gold,5.52E+04,5.46E+04"
"Graphite*,1.44E+00,2.80E+00"
"Gypsum*,1.55E-02,4.14E-02"
"Hafnium*,1.17E+03,1.41E+03"
"Ilmenite*,2.59E-01,5.68E-01"
"Indium*,1.25E+03,1.50E+03"
"Iodine*,7.02E+01,1.04E+02"
"Iron,4.12E-01,9.06E-01"
"Iron_ore*,1.10E-01,2.55E-01"
"Kaolin*,1.58E-01,3.58E-01"
"Kyanite*,3.40E-01,7.31E-01"
"Lead,5.21E+00,7.18E+00"
"Lime*,1.28E-01,2.95E-01"
"Lithium,2.61E+01,7.10E+01"
"Magnesium*,6.63E+00,1.16E+01"
"Manganese,4.06E-01,1.20E+00"
"Mercury*,9.03E+01,1.31E+02"
"Molybdenum,3.13E+02,4.27E+02"
"Nickel,2.00E+01,4.23E+01"
"Niobium,4.81E+01,7.61E+01"
"Palladium*,6.88E+04,6.25E+04"
"Perlite*,5.48E-02,1.34E-01"
"Phosphorus,1.51E+00,2.44E+00"
"Platinum*,1.49E+05,1.28E+05"
"Potash*,7.48E-01,1.52E+00"
"Pumice_and_pumicite*,3.33E-02,8.42E-02"
"Rhenium*,7.25E+03,7.72E+03"
"Rhodium*,1.05E+05,9.27E+04"
"Rutile*,1.34E+00,2.62E+00"
"Selenium*,1.38E+02,1.94E+02"
"Silicon*,3.43E+00,6.26E+00"
"Silver,1.74E+03,2.24E+03"
"Strontium*,6.21E-01,1.28E+00"
"Talc*,2.52E-01,5.53E-01"
"Tantalum*,6.10E+02,7.74E+02"
"Tellurium*,1.99E+02,2.73E+02"
"Thallium*,1.76E+04,1.76E+04"
"Tin,5.65E+01,7.35E+01"
"Titanium*,7.43E+00,1.28E+01"
"Titanium_dioxide_pigment*,4.18E+00,7.53E+00"
"Tripoli*,2.30E-01,5.09E-01"
"Tungsten*,7.75E+01,1.14E+02"
"Uranium,3.86E+02,3.69E+02"
"Vanadium*,3.76E+01,5.81E+01"
"Wollastonite*,2.38E-01,5.24E-01"
"Zinc,1.25E+00,2.24E+00"
"Garnets*,3.23E-01,6.97E-01"
"Gemstones*,1.35E+05,1.17E+05"
"Platinum_group_metals,5.99E+04,5.50E+04"
"Rare_earth_metals*,2.97E+01,4.66E+01"
"Zirconium_minerals*,1.31E+00,2.56E+00"
